mode,run,branch,was_winner,cancelled,result_numeric,result_detail,condition_value,condition_duration_ms,branch_start_ms,branch_end_ms,branch_duration_ms,total_duration_ms,error
secuencial,22,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3248560,4.905,4.905,24.959,20.054,24.959,
secuencial,23,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3245251,4.638,4.639,24.777,20.139,24.778,
secuencial,24,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3228014,4.873,4.873,24.845,19.972,24.845,
secuencial,25,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3250949,4.607,4.607,24.635,20.028,24.635,
secuencial,26,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3244548,4.917,4.917,24.866,19.949,24.866,
secuencial,27,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3244086,4.603,4.603,24.646,20.043,24.646,
secuencial,28,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3239809,4.921,4.922,25.088,20.166,25.088,
secuencial,29,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3248527,4.620,4.621,24.709,20.088,24.709,
secuencial,30,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3236758,5.060,5.060,25.209,20.149,25.210,

resumen,,,,,avg_numeric_speculative=51815.500,avg_numeric_sequential=103631.000,,,,,,avg_speculative_ms=21.484;avg_sequential_ms=24.903;speedup=1.159,
